comment_id,content_id,comment_text,created_at
CM000138,C03451,I found this confusing.,2026-02-19 21:00:00
CM000139,C03657,Interesting perspective.,2026-06-01 00:00:00
CM000140,C03631,Not sure this applies to everyone.,2026-03-20 07:00:00
CM000141,C03879,This is painfully accurate but helpful.,2026-06-20 09:00:00
CM000142,C00521,"This is so relatable, thank you for saying it.",2026-08-28 05:00:00
CM000143,C04010,This is painfully accurate but helpful.,2026-04-18 11:00:00
CM000144,C03014,I thought I was the only one dealing with this.,2026-08-15 11:00:00
CM000145,C03557,I saved this because it explains how I feel.,2026-03-11 05:00:00
CM000146,C02754,This is painfully accurate but helpful.,2026-05-04 08:00:00
CM000147,C01907,Needed this reminder today.,2026-04-28 07:00:00
CM000148,C01393,You described my situation perfectly.,2026-07-22 19:00:00
CM000149,C04534,"This is so relatable, thank you for saying it.",2026-03-14 13:00:00
CM000150,C02626,How long is the full video?,2026-03-09 20:00:00
CM000151,C03609,"This is so relatable, thank you for saying it.",2026-04-28 14:00:00
CM000152,C00452,This topic is worth discussing.,2026-06-30 12:00:00
CM000153,C04768,This topic is worth discussing.,2026-08-11 08:00:00
CM000154,C00797,This is exactly what I needed to hear today.,2026-08-05 18:00:00
CM000155,C02274,Needed this reminder today.,2026-01-08 08:00:00
CM000156,C02630,Not sure this applies to everyone.,2026-07-21 15:00:00
CM000157,C00991,I have been struggling with the same thing for months.,2026-03-07 15:00:00
CM000158,C04969,I don't agree with this.,2026-06-03 04:00:00
CM000159,C03838,I thought I was the only one dealing with this.,2026-07-02 08:00:00
CM000160,C04102,Finally someone put this feeling into words.,2026-07-20 09:00:00
CM000161,C03692,What app did you use to make this?,2026-03-03 23:00:00
CM000162,C03667,The editing is clean.,2026-01-02 16:00:00
CM000163,C02888,Interesting perspective.,2026-08-02 07:00:00
CM000164,C02311,The editing is clean.,2026-04-04 07:00:00
CM000165,C02577,This advice did not help me.,2026-07-01 23:00:00
CM000166,C02916,I thought I was the only one dealing with this.,2026-07-06 01:00:00
CM000167,C00514,I thought I was the only one dealing with this.,2026-06-05 23:00:00
CM000168,C03104,I have been struggling with the same thing for months.,2026-04-09 10:00:00
CM000169,C02222,Good point.,2026-01-26 23:00:00
CM000170,C00258,This is painfully accurate but helpful.,2026-02-15 05:00:00
CM000171,C02911,I had not thought about it this way.,2026-06-03 07:00:00
CM000172,C04640,"This is so relatable, thank you for saying it.",2026-07-07 09:00:00
CM000173,C03413,I have been struggling with the same thing for months.,2026-04-30 23:00:00
CM000174,C01527,This is painfully accurate but helpful.,2026-05-28 18:00:00
CM000175,C00876,This feels too generalized.,2026-04-18 05:00:00
CM000176,C02666,What app did you use to make this?,2026-05-07 20:00:00
CM000177,C04998,This is painfully accurate but helpful.,2026-08-14 04:00:00
CM000178,C03463,Thanks for sharing.,2026-03-24 00:00:00
CM000179,C04996,This made me feel understood.,2026-08-05 08:00:00
CM000180,C02042,This feels too generalized.,2026-01-24 14:00:00
CM000181,C03653,This is painfully accurate but helpful.,2026-01-06 10:00:00
CM000182,C00635,You described my situation perfectly.,2026-07-29 00:00:00
CM000183,C04032,I saved this because it explains how I feel.,2026-05-07 15:00:00
CM000184,C01637,I found this confusing.,2026-02-18 13:00:00
CM000185,C01312,Not sure this applies to everyone.,2026-01-09 01:00:00
CM000186,C04026,I have been struggling with the same thing for months.,2026-06-03 13:00:00
CM000187,C00493,This topic is worth discussing.,2026-04-12 18:00:00
CM000188,C01545,Nice explanation.,2026-03-13 02:00:00
CM000189,C01910,I thought I was the only one dealing with this.,2026-08-28 14:00:00
CM000190,C00749,You described my situation perfectly.,2026-02-25 15:00:00
CM000191,C00533,You described my situation perfectly.,2026-08-01 05:00:00
CM000192,C04279,Good point.,2026-04-19 03:00:00
CM000193,C00651,Not sure this applies to everyone.,2026-02-17 17:00:00
CM000194,C03980,This is exactly what I needed to hear today.,2026-06-27 05:00:00
CM000195,C01017,Needed this reminder today.,2026-07-24 01:00:00
CM000196,C04755,This is painfully accurate but helpful.,2026-02-25 19:00:00
CM000197,C01973,You described my situation perfectly.,2026-05-20 03:00:00
CM000198,C04345,Needed this reminder today.,2026-01-23 10:00:00
CM000199,C03035,You described my situation perfectly.,2026-06-08 02:00:00
CM000200,C00454,This is exactly what I needed to hear today.,2026-04-28 09:00:00
CM000201,C04357,I thought I was the only one dealing with this.,2026-07-23 13:00:00
CM000202,C03863,Interesting perspective.,2026-05-13 15:00:00
CM000203,C02516,You described my situation perfectly.,2026-03-01 17:00:00
CM000204,C04179,I don't agree with this.,2026-06-08 22:00:00
CM000205,C04924,Interesting perspective.,2026-04-02 14:00:00
CM000206,C00229,How long is the full video?,2026-04-20 03:00:00
CM000207,C01584,Good point.,2026-05-27 23:00:00
CM000208,C00880,This is painfully accurate but helpful.,2026-04-04 17:00:00
CM000209,C01450,The editing is clean.,2026-02-24 04:00:00
CM000210,C04326,Not sure this applies to everyone.,2026-02-06 22:00:00
CM000211,C01050,Nice explanation.,2026-08-21 20:00:00
CM000212,C02586,The editing is clean.,2026-03-14 16:00:00
CM000213,C01164,This topic is worth discussing.,2026-07-19 21:00:00
CM000214,C00610,"This is so relatable, thank you for saying it.",2026-03-02 03:00:00
CM000215,C03858,Needed this reminder today.,2026-06-23 22:00:00
CM000216,C03999,Needed this reminder today.,2026-02-02 01:00:00
CM000217,C00108,I have been struggling with the same thing for months.,2026-03-02 05:00:00
CM000218,C00706,The editing is clean.,2026-08-20 02:00:00
CM000219,C02978,Nice explanation.,2026-08-09 16:00:00
CM000220,C03866,Where can I find more information?,2026-02-14 09:00:00
CM000221,C02069,The editing is clean.,2026-05-01 23:00:00
CM000222,C02419,Good point.,2026-05-19 11:00:00
CM000223,C03229,I thought I was the only one dealing with this.,2026-07-28 21:00:00
CM000224,C01810,This made me feel understood.,2026-04-08 12:00:00
CM000225,C03735,Finally someone put this feeling into words.,2026-08-02 23:00:00
CM000226,C03877,This made me feel understood.,2026-05-13 15:00:00
CM000227,C01770,Where can I find more information?,2026-03-13 22:00:00
CM000228,C01306,I have been struggling with the same thing for months.,2026-05-22 13:00:00
CM000229,C02979,I don't agree with this.,2026-01-21 04:00:00
CM000230,C03326,I thought I was the only one dealing with this.,2026-05-06 21:00:00
CM000231,C00212,I don't agree with this.,2026-01-20 02:00:00
CM000232,C03234,Where can I find more information?,2026-03-21 19:00:00
CM000233,C01899,How long is the full video?,2026-06-21 05:00:00
CM000234,C02736,Good point.,2026-03-24 11:00:00
CM000235,C01308,You described my situation perfectly.,2026-08-28 20:00:00
CM000236,C01672,The editing is clean.,2026-02-11 06:00:00
CM000237,C01161,This feels too generalized.,2026-08-05 10:00:00
CM000238,C00967,This is painfully accurate but helpful.,2026-04-11 00:00:00
CM000239,C02151,Nice explanation.,2026-06-07 13:00:00
CM000240,C04981,"This is so relatable, thank you for saying it.",2026-03-29 15:00:00
CM000241,C01211,This made me feel understood.,2026-05-01 07:00:00
CM000242,C03469,I had not thought about it this way.,2026-08-29 05:00:00
CM000243,C03362,I saved this because it explains how I feel.,2026-02-16 13:00:00
CM000244,C00209,I have been struggling with the same thing for months.,2026-01-23 14:00:00
CM000245,C03071,You described my situation perfectly.,2026-05-14 11:00:00
CM000246,C01202,I thought I was the only one dealing with this.,2026-05-20 19:00:00
CM000247,C04010,I have been struggling with the same thing for months.,2026-08-01 19:00:00
CM000248,C00088,This is painfully accurate but helpful.,2026-08-28 12:00:00
CM000249,C00291,I thought I was the only one dealing with this.,2026-05-23 02:00:00
CM000250,C00098,This is exactly what I needed to hear today.,2026-08-13 13:00:00
CM000251,C00586,This is painfully accurate but helpful.,2026-01-23 23:00:00
CM000252,C04351,This is exactly what I needed to hear today.,2026-06-17 21:00:00
CM000253,C04484,I thought I was the only one dealing with this.,2026-05-09 02:00:00
CM000254,C01663,You described my situation perfectly.,2026-04-07 01:00:00
CM000255,C04110,"This is so relatable, thank you for saying it.",2026-07-26 01:00:00
CM000256,C04478,This made me feel understood.,2026-06-25 23:00:00
CM000257,C03270,I have been struggling with the same thing for months.,2026-01-17 20:00:00
CM000258,C01071,Nice explanation.,2026-08-15 15:00:00
CM000259,C03463,You described my situation perfectly.,2026-05-01 03:00:00
CM000260,C02028,This made me feel understood.,2026-05-12 05:00:00
CM000261,C03378,Interesting perspective.,2026-02-13 00:00:00
CM000262,C01921,"This is so relatable, thank you for saying it.",2026-03-25 01:00:00
CM000263,C04395,This made me feel understood.,2026-06-22 12:00:00
CM000264,C02268,Interesting perspective.,2026-01-04 04:00:00
CM000265,C04193,This made me feel understood.,2026-04-05 19:00:00
CM000266,C04251,What app did you use to make this?,2026-05-03 12:00:00
CM000267,C04966,Nice explanation.,2026-08-10 09:00:00
CM000268,C01748,Not sure this applies to everyone.,2026-01-23 12:00:00
CM000269,C03356,I found this confusing.,2026-08-02 20:00:00
CM000270,C04542,This is painfully accurate but helpful.,2026-03-19 02:00:00
CM000271,C02753,Nice explanation.,2026-03-05 04:00:00
CM000272,C00684,"This is so relatable, thank you for saying it.",2026-05-31 16:00:00
CM000273,C00711,You described my situation perfectly.,2026-04-15 22:00:00
CM000274,C02588,I saved this because it explains how I feel.,2026-03-09 05:00:00
CM000275,C04804,You described my situation perfectly.,2026-02-22 02:00:00
CM000276,C02135,This is exactly what I needed to hear today.,2026-02-24 04:00:00
CM000277,C01511,Thanks for sharing.,2026-02-25 06:00:00
CM000278,C04185,This is painfully accurate but helpful.,2026-05-23 12:00:00
CM000279,C04083,Interesting perspective.,2026-04-22 00:00:00
CM000280,C02359,Not sure this applies to everyone.,2026-01-18 17:00:00
CM000281,C04231,This is exactly what I needed to hear today.,2026-02-27 09:00:00
CM000282,C04958,This is exactly what I needed to hear today.,2026-08-13 17:00:00
CM000283,C00165,Needed this reminder today.,2026-07-17 11:00:00
CM000284,C00418,I have been struggling with the same thing for months.,2026-08-27 00:00:00
CM000285,C03247,This is painfully accurate but helpful.,2026-06-17 16:00:00
CM000286,C03922,This is painfully accurate but helpful.,2026-08-28 10:00:00
CM000287,C03179,I had not thought about it this way.,2026-06-16 02:00:00
CM000288,C01696,Interesting perspective.,2026-01-02 14:00:00
CM000289,C00034,This is painfully accurate but helpful.,2026-05-15 08:00:00
CM000290,C03774,Good point.,2026-01-01 13:00:00
CM000291,C02737,I had not thought about it this way.,2026-02-03 06:00:00
CM000292,C03667,Good point.,2026-01-25 23:00:00
CM000293,C02926,Needed this reminder today.,2026-01-12 23:00:00
CM000294,C04280,I thought I was the only one dealing with this.,2026-08-11 00:00:00
CM000295,C03457,The editing is clean.,2026-02-09 06:00:00
CM000296,C03496,This made me feel understood.,2026-07-30 10:00:00
CM000297,C03400,I thought I was the only one dealing with this.,2026-03-17 16:00:00
CM000298,C01133,Needed this reminder today.,2026-01-05 07:00:00
CM000299,C04883,You described my situation perfectly.,2026-03-23 06:00:00
CM000300,C04895,Thanks for sharing.,2026-01-18 07:00:00
CM000301,C01635,Thanks for sharing.,2026-03-17 17:00:00
CM000302,C01291,This is exactly what I needed to hear today.,2026-03-15 10:00:00
CM000303,C03111,This advice did not help me.,2026-01-13 05:00:00
CM000304,C00961,I thought I was the only one dealing with this.,2026-03-09 14:00:00
CM000305,C00147,This made me feel understood.,2026-01-28 18:00:00
CM000306,C04373,Thanks for sharing.,2026-01-01 08:00:00
CM000307,C01359,Needed this reminder today.,2026-05-31 20:00:00
CM000308,C02970,This advice did not help me.,2026-01-20 16:00:00
CM000309,C02433,How long is the full video?,2026-06-17 14:00:00
CM000310,C02807,I saved this because it explains how I feel.,2026-06-14 03:00:00
CM000311,C00500,You described my situation perfectly.,2026-07-24 09:00:00
CM000312,C01636,Finally someone put this feeling into words.,2026-05-24 01:00:00
CM000313,C00750,You described my situation perfectly.,2026-04-14 02:00:00
CM000314,C02902,What app did you use to make this?,2026-03-27 15:00:00
CM000315,C00783,This made me feel understood.,2026-02-27 04:00:00
CM000316,C02957,I had not thought about it this way.,2026-03-01 06:00:00
CM000317,C01229,I saved this because it explains how I feel.,2026-02-18 03:00:00
CM000318,C02214,I have been struggling with the same thing for months.,2026-04-25 20:00:00
CM000319,C04016,Finally someone put this feeling into words.,2026-06-05 02:00:00
CM000320,C02058,I thought I was the only one dealing with this.,2026-06-04 13:00:00
CM000321,C03303,I don't agree with this.,2026-06-25 18:00:00
CM000322,C00844,I have been struggling with the same thing for months.,2026-03-15 17:00:00
CM000323,C04376,This advice did not help me.,2026-08-18 05:00:00
CM000324,C03024,Thanks for sharing.,2026-02-02 04:00:00
CM000325,C02529,I thought I was the only one dealing with this.,2026-06-21 05:00:00
CM000326,C03173,I thought I was the only one dealing with this.,2026-08-11 00:00:00
CM000327,C00867,This topic is worth discussing.,2026-07-22 10:00:00
CM000328,C00208,You described my situation perfectly.,2026-01-29 00:00:00
CM000329,C00007,This topic is worth discussing.,2026-06-14 19:00:00
CM000330,C03421,What app did you use to make this?,2026-07-22 23:00:00
CM000331,C02540,"This is so relatable, thank you for saying it.",2026-03-26 06:00:00
CM000332,C04954,How long is the full video?,2026-05-17 04:00:00
CM000333,C04928,I don't agree with this.,2026-04-28 19:00:00
CM000334,C00922,You described my situation perfectly.,2026-04-24 15:00:00
CM000335,C01266,Finally someone put this feeling into words.,2026-06-09 23:00:00
CM000336,C01044,I saved this because it explains how I feel.,2026-03-03 21:00:00
CM000337,C02166,"This is so relatable, thank you for saying it.",2026-03-17 15:00:00
CM000338,C01411,I have been struggling with the same thing for months.,2026-06-19 10:00:00
CM000339,C02912,This is painfully accurate but helpful.,2026-01-25 15:00:00
CM000340,C03140,What app did you use to make this?,2026-04-29 19:00:00
CM000341,C02627,Thanks for sharing.,2026-07-01 03:00:00
CM000342,C02010,This is painfully accurate but helpful.,2026-01-25 21:00:00
CM000343,C01613,This is exactly what I needed to hear today.,2026-03-03 20:00:00
CM000344,C00200,This topic is worth discussing.,2026-07-18 18:00:00
CM000345,C03509,What app did you use to make this?,2026-05-04 05:00:00
CM000346,C03999,I thought I was the only one dealing with this.,2026-06-15 19:00:00
CM000347,C02961,I had not thought about it this way.,2026-07-25 01:00:00
CM000348,C02603,What app did you use to make this?,2026-07-06 08:00:00
CM000349,C03241,I thought I was the only one dealing with this.,2026-03-27 16:00:00
CM000350,C03402,Good point.,2026-02-25 04:00:00
CM000351,C01057,This is painfully accurate but helpful.,2026-06-09 08:00:00
CM000352,C01586,"This is so relatable, thank you for saying it.",2026-03-19 19:00:00
CM000353,C02496,I saved this because it explains how I feel.,2026-03-09 06:00:00
CM000354,C00132,I saved this because it explains how I feel.,2026-03-21 12:00:00
CM000355,C00390,Thanks for sharing.,2026-04-28 14:00:00
CM000356,C00441,You described my situation perfectly.,2026-02-08 22:00:00
CM000357,C01107,How long is the full video?,2026-02-26 04:00:00
CM000358,C01380,The editing is clean.,2026-08-02 12:00:00
CM000359,C00397,What app did you use to make this?,2026-08-05 09:00:00
CM000360,C04118,This topic is worth discussing.,2026-03-30 13:00:00
CM000361,C04148,I have been struggling with the same thing for months.,2026-01-16 22:00:00
CM000362,C04937,I saved this because it explains how I feel.,2026-03-16 10:00:00
CM000363,C01719,This is exactly what I needed to hear today.,2026-04-12 19:00:00
CM000364,C01236,Good point.,2026-04-26 00:00:00
CM000365,C00244,Where can I find more information?,2026-04-02 19:00:00
CM000366,C03333,I saved this because it explains how I feel.,2026-08-20 10:00:00
CM000367,C04632,This is exactly what I needed to hear today.,2026-07-12 19:00:00
CM000368,C01755,Interesting perspective.,2026-03-30 11:00:00
CM000369,C04112,Finally someone put this feeling into words.,2026-08-27 13:00:00
CM000370,C04176,"This is so relatable, thank you for saying it.",2026-08-14 02:00:00
CM000371,C04246,I saved this because it explains how I feel.,2026-03-22 22:00:00
CM000372,C01835,"This is so relatable, thank you for saying it.",2026-08-14 17:00:00
CM000373,C01158,I have been struggling with the same thing for months.,2026-08-13 23:00:00
CM000374,C02277,This topic is worth discussing.,2026-03-19 14:00:00
CM000375,C04200,This made me feel understood.,2026-03-15 09:00:00
CM000376,C01871,This topic is worth discussing.,2026-05-24 16:00:00
CM000377,C03290,Interesting perspective.,2026-07-17 22:00:00
CM000378,C01215,I thought I was the only one dealing with this.,2026-06-05 11:00:00
CM000379,C01200,I don't agree with this.,2026-05-28 10:00:00
CM000380,C04146,This feels too generalized.,2026-03-11 04:00:00
CM000381,C02468,This advice did not help me.,2026-06-21 17:00:00
CM000382,C00972,This is exactly what I needed to hear today.,2026-08-29 05:00:00
CM000383,C02115,How long is the full video?,2026-07-17 18:00:00
CM000384,C04862,Needed this reminder today.,2026-05-25 10:00:00
CM000385,C04260,This is painfully accurate but helpful.,2026-01-20 18:00:00
CM000386,C03241,"This is so relatable, thank you for saying it.",2026-06-22 23:00:00
CM000387,C01126,Where can I find more information?,2026-05-16 11:00:00
CM000388,C00502,"This is so relatable, thank you for saying it.",2026-06-17 04:00:00
CM000389,C00787,This is exactly what I needed to hear today.,2026-06-13 20:00:00
CM000390,C03972,Not sure this applies to everyone.,2026-02-24 02:00:00
CM000391,C00775,How long is the full video?,2026-05-16 13:00:00
CM000392,C00942,I don't agree with this.,2026-05-24 16:00:00
CM000393,C04638,Finally someone put this feeling into words.,2026-05-05 16:00:00
CM000394,C00851,The editing is clean.,2026-07-29 03:00:00
CM000395,C03149,The editing is clean.,2026-05-31 01:00:00
CM000396,C02996,I thought I was the only one dealing with this.,2026-07-04 12:00:00
CM000397,C00980,Finally someone put this feeling into words.,2026-06-12 09:00:00
CM000398,C03664,This is painfully accurate but helpful.,2026-04-21 19:00:00
CM000399,C01512,Where can I find more information?,2026-06-11 07:00:00
CM000400,C04397,Needed this reminder today.,2026-05-12 10:00:00
CM000401,C03019,"This is so relatable, thank you for saying it.",2026-05-24 10:00:00
CM000402,C03273,The editing is clean.,2026-06-05 05:00:00
CM000403,C00321,I had not thought about it this way.,2026-05-19 23:00:00
CM000404,C00058,I had not thought about it this way.,2026-03-31 21:00:00
CM000405,C03926,Where can I find more information?,2026-06-16 00:00:00
CM000406,C03445,Interesting perspective.,2026-03-22 13:00:00
CM000407,C03240,I had not thought about it this way.,2026-05-16 21:00:00
CM000408,C03659,How long is the full video?,2026-04-19 20:00:00
CM000409,C03401,Where can I find more information?,2026-05-13 04:00:00
CM000410,C02886,You described my situation perfectly.,2026-08-30 17:00:00
CM000411,C02208,I saved this because it explains how I feel.,2026-05-28 16:00:00
CM000412,C04614,I had not thought about it this way.,2026-06-19 09:00:00
CM000413,C03113,Good point.,2026-03-31 06:00:00
CM000414,C01936,I found this confusing.,2026-02-02 06:00:00
CM000415,C04648,This is exactly what I needed to hear today.,2026-08-20 13:00:00
CM000416,C00143,Nice explanation.,2026-01-31 04:00:00
CM000417,C02253,The editing is clean.,2026-06-04 22:00:00
CM000418,C04961,The editing is clean.,2026-02-03 00:00:00
