content_id,date,platform,topic,format,hook,caption_style,video_length_sec,impressions,followers_before,likes,comments,shares,saves,retention_rate,followers_gained,engagement_rate_pct,save_to_share_ratio,viral_coefficient,viral_score,viral_label
C04055,2026-01-02,Instagram,Social Anxiety,Short,Visual,Confession,26,18904,12677,908,123,169,78,0.733,46,6.76,0.462,6.8848,0.07953677528565384,Viral
C00773,2026-01-02,Instagram,Family Pressure,Short,Text,Story,21,160456,126802,8791,1691,856,1436,0.506,221,7.961,1.678,7.7105,0.05726631350650646,Non-Viral
C01279,2026-01-02,YouTube,Career Stress,Short,Text,Advice,47,19641,203773,660,66,129,87,0.538,21,4.796,0.674,5.0405,0.058588452726439595,Non-Viral
C03234,2026-01-02,YouTube,Dating,Short,Text,Question,32,157784,129098,8624,401,726,617,0.528,276,6.571,0.85,5.2765,0.05642489225777012,Non-Viral
C00104,2026-01-02,YouTube,Burnout,Long,Visual,Confession,34,57595,142667,2688,132,471,267,0.602,139,6.178,0.567,6.0578,0.06561453251150273,Non-Viral
C00845,2026-01-02,Instagram,Family Pressure,Short,Text,Story,26,115500,28816,12890,610,1105,1495,0.418,222,13.939,1.353,11.8312,0.05078051948051948,Non-Viral
C00846,2026-01-02,YouTube,Family Pressure,Long,Visual,Confession,25,157890,55426,6705,955,524,1073,0.487,384,5.863,2.048,5.3854,0.05313948318449553,Non-Viral
C02789,2026-01-02,Instagram,Dating,Long,Text,Story,40,4482,237276,328,29,38,46,0.408,20,9.839,1.211,9.2258,0.048664792503346724,Non-Viral
C01190,2026-01-02,Instagram,Social Anxiety,Short,Visual,List,43,71869,14217,4513,351,693,238,0.651,118,8.063,0.343,7.4274,0.07116520196468576,Viral
C00707,2026-01-02,Instagram,College Life,Long,Text,Advice,30,21874,5341,925,87,103,48,0.487,13,5.317,0.466,4.5625,0.05207386851970376,Non-Viral
C00465,2026-01-02,Instagram,Dating,Short,Text,Confession,38,90039,224182,9764,831,873,1052,0.464,352,13.905,1.205,12.052,0.05565265718188785,Non-Viral
C01237,2026-01-02,Instagram,Dating,Short,Text,Advice,44,86724,152061,7293,510,919,396,0.408,100,10.514,0.431,9.1791,0.04782054794520548,Non-Viral
C04885,2026-01-02,Instagram,Self-Doubt,Long,Visual,Story,10,119322,229385,12710,963,1669,600,0.542,267,13.36,0.359,11.7384,0.0632134258560869,Non-Viral
C04361,2026-01-02,Instagram,Self-Doubt,Short,Text,Story,45,123371,85066,6171,369,1102,1241,0.494,218,7.2,1.126,7.6412,0.0568859569915134,Non-Viral
C03217,2026-01-02,YouTube,Career Stress,Long,Text,List,45,161304,228262,3632,173,777,582,0.341,80,3.201,0.749,3.4534,0.03751095075137629,Non-Viral
C00575,2026-01-02,YouTube,College Life,Long,Visual,Confession,30,169296,97771,13630,1292,2016,644,0.366,736,10.385,0.319,9.5035,0.04424459880918628,Non-Viral
C00381,2026-01-02,Instagram,Social Anxiety,Long,Visual,Question,26,90937,187535,7913,1009,935,592,0.384,495,11.49,0.633,10.4017,0.04664416904010469,Non-Viral
C01550,2026-01-02,YouTube,Career Stress,Short,Visual,Confession,36,135838,114332,6230,922,880,468,0.517,360,6.257,0.532,5.9438,0.056666945920876344,Non-Viral
C02646,2026-01-02,YouTube,Burnout,Long,Visual,Confession,30,103960,26660,3363,307,249,347,0.44,141,4.104,1.394,3.4465,0.04652212389380531,Non-Viral
C02401,2026-01-02,Instagram,Friendship,Short,Text,Advice,40,70598,246559,5151,237,200,664,0.556,265,8.856,3.32,6.8826,0.06019998866823424,Non-Viral
C02202,2026-01-02,Instagram,Self-Doubt,Long,Visual,Question,33,54913,36195,4553,339,233,662,0.567,256,10.538,2.841,8.7557,0.06315202411086628,Non-Viral
C00901,2026-01-02,Instagram,College Life,Short,Visual,Story,31,77974,90118,8127,291,573,467,0.659,258,12.13,0.815,9.1736,0.07156342627029523,Viral
C01294,2026-01-02,Instagram,Career Stress,Short,Text,Advice,44,84906,122960,3163,185,540,410,0.448,60,5.062,0.759,5.0632,0.049437481450074205,Non-Viral
C04598,2026-01-02,Instagram,Social Anxiety,Short,Visual,Story,50,123252,116944,6243,757,878,1118,0.63,432,7.299,1.273,7.4052,0.06984816473566352,Viral
C02628,2026-01-02,Instagram,College Life,Short,Text,Question,36,8924,127255,299,30,41,37,0.526,13,4.561,0.902,4.387,0.05641555356342448,Non-Viral
C04689,2026-01-02,Instagram,Self-Doubt,Long,Visual,Question,37,39848,110357,2089,234,276,75,0.518,119,6.71,0.272,5.9564,0.05636233688014455,Non-Viral
C03399,2026-01-02,Instagram,Burnout,Short,Text,Advice,45,118898,20150,5596,183,527,329,0.443,293,5.58,0.624,4.4673,0.04735556022809467,Non-Viral
C00303,2026-01-03,Instagram,Family Pressure,Short,Text,Story,25,150236,150643,7267,528,413,896,0.544,114,6.06,2.169,4.9632,0.057953409302697094,Non-Viral
C04768,2026-01-03,Instagram,Career Stress,Short,Visual,Confession,59,56976,95262,3098,303,606,547,0.581,190,7.993,0.903,8.6273,0.0665640901432182,Viral
C03822,2026-01-03,Instagram,Career Stress,Long,Text,Confession,46,18603,68315,920,86,164,56,0.464,27,6.59,0.341,6.4129,0.05196361877116595,Non-Viral
C01807,2026-01-03,Instagram,Self-Doubt,Short,Text,Confession,11,102620,229872,10773,815,764,593,0.573,135,12.615,0.776,9.8295,0.06357509257454687,Non-Viral
C03725,2026-01-03,Instagram,Social Anxiety,Long,Visual,Confession,34,26581,182093,2830,195,386,116,0.567,58,13.269,0.301,11.6531,0.06564435875249239,Non-Viral
C04131,2026-01-03,YouTube,College Life,Long,Visual,Question,47,86493,64138,5335,274,580,841,0.494,150,8.128,1.45,7.5156,0.0558097672644029,Non-Viral
C02443,2026-01-03,Instagram,Career Stress,Short,Text,Story,25,10858,217606,651,69,64,20,0.615,27,7.405,0.312,6.0877,0.06565822435070916,Non-Viral
C03904,2026-01-03,Instagram,Career Stress,Short,Text,Story,30,157486,19438,9646,1240,1423,1483,0.494,450,8.758,1.042,8.8376,0.05747214609552595,Non-Viral
C01532,2026-01-03,Instagram,College Life,Short,Visual,Advice,51,18607,240714,625,52,79,48,0.713,25,4.321,0.608,3.8883,0.07440367066157898,Viral
C04393,2026-01-03,Instagram,Family Pressure,Short,Visual,Question,55,13570,122739,1389,106,148,177,0.571,44,13.412,1.196,12.1702,0.06709263080324245,Viral
C04788,2026-01-03,Instagram,College Life,Long,Text,Question,23,34771,240354,2324,68,127,207,0.351,62,7.84,1.63,5.9216,0.03882293002789681,Non-Viral
C01070,2026-01-03,Instagram,Social Anxiety,Short,Visual,List,50,97423,110375,7758,321,744,410,0.617,559,9.477,0.551,7.6086,0.06689333217002146,Viral
C01763,2026-01-03,Instagram,Dating,Short,Visual,Advice,22,123353,202616,8589,230,613,1181,0.55,335,8.604,1.927,7.1668,0.06038819485541495,Non-Viral
C03799,2026-01-03,Instagram,College Life,Short,Text,Advice,48,94911,98968,4989,455,1172,525,0.513,458,7.524,0.448,8.1582,0.05923532888706262,Non-Viral
C00801,2026-01-03,YouTube,Career Stress,Short,Text,List,45,24307,47705,1002,55,152,112,0.436,59,5.435,0.737,5.1981,0.04813573044801909,Non-Viral
C01175,2026-01-03,YouTube,Dating,Short,Text,Advice,26,100231,37335,8714,707,692,360,0.61,137,10.449,0.52,8.1946,0.0662423900789177,Non-Viral
C00790,2026-01-03,Instagram,Friendship,Short,Text,Advice,27,3727,58678,144,6,10,19,0.483,5,4.803,1.9,3.9979,0.05127826670244164,Non-Viral
C00839,2026-01-04,Instagram,Career Stress,Short,Text,Question,28,98172,69327,6470,229,1182,560,0.508,96,8.598,0.474,8.398,0.05827922014423665,Non-Viral
C03103,2026-01-04,YouTube,Friendship,Short,Visual,Advice,27,76151,80815,3324,355,377,388,0.604,202,5.836,1.029,5.386,0.0648556210686662,Non-Viral
C04046,2026-01-04,YouTube,Social Anxiety,Short,Text,Advice,31,52465,37691,2968,452,462,267,0.428,56,7.908,0.578,7.7804,0.04958166396645383,Non-Viral
C01121,2026-01-04,Instagram,Social Anxiety,Long,Visual,Question,48,59889,117700,4374,196,466,327,0.509,165,8.955,0.702,7.569,0.056530416270099686,Non-Viral
C04104,2026-01-04,Instagram,Social Anxiety,Long,Text,Story,37,45104,42943,3803,159,201,511,0.395,225,10.363,2.542,8.3474,0.04543295494856333,Non-Viral
C01682,2026-01-04,Instagram,Dating,Short,Text,List,29,85865,234272,7440,342,521,253,0.499,158,9.964,0.486,7.3394,0.05411184417399406,Non-Viral
C01038,2026-01-04,Instagram,Career Stress,Short,Visual,Advice,20,60570,42439,2858,117,364,305,0.558,74,6.016,0.838,5.459,0.0603047052996533,Non-Viral
C03136,2026-01-04,YouTube,Self-Doubt,Long,Visual,Confession,23,74963,122205,2719,278,435,178,0.555,169,4.816,0.409,4.5856,0.059379914090951544,Non-Viral
C00889,2026-01-04,Instagram,Self-Doubt,Short,Text,Confession,23,86901,217075,6637,382,1042,614,0.579,245,9.983,0.589,9.4884,0.06607481962232886,Non-Viral
C04931,2026-01-04,YouTube,Self-Doubt,Short,Text,Question,41,138693,154900,7801,373,1236,356,0.532,466,7.041,0.288,6.4026,0.05838375116263979,Non-Viral
C04230,2026-01-04,Instagram,Social Anxiety,Short,Visual,Confession,8,2103,34905,150,18,27,18,0.54,6,10.128,0.667,10.4137,0.06362910128388018,Non-Viral
C00410,2026-01-04,Instagram,Friendship,Short,Visual,Confession,26,117222,17162,13582,918,2105,1866,0.501,713,15.757,0.886,15.5389,0.06413106925321187,Non-Viral
C03898,2026-01-05,Instagram,Dating,Short,Text,Story,24,76485,113914,5267,758,405,643,0.532,158,9.248,1.588,8.1996,0.05959144930378506,Non-Viral
C03858,2026-01-05,YouTube,Burnout,Short,Text,List,33,56024,175072,2853,122,424,180,0.566,117,6.388,0.425,5.7859,0.06129620162787376,Non-Viral
C01624,2026-01-05,Instagram,Career Stress,Short,Text,Advice,22,162524,195001,6035,684,969,267,0.553,173,4.895,0.276,4.6052,0.059107130023873404,Non-Viral
C02090,2026-01-05,YouTube,Career Stress,Short,Text,Confession,35,9529,70525,299,42,51,41,0.529,17,4.544,0.804,4.6962,0.05726037359638997,Non-Viral
C02975,2026-01-05,YouTube,College Life,Short,Text,Question,47,63763,97258,2551,230,126,385,0.574,66,5.163,3.056,4.3419,0.060641691890281194,Non-Viral
C00233,2026-01-05,Instagram,Career Stress,Short,Visual,Story,18,16771,189343,1103,78,97,86,0.587,32,8.133,0.887,6.7468,0.06353870967741936,Non-Viral
C01366,2026-01-05,Instagram,Self-Doubt,Long,Visual,List,40,174724,193944,7989,1138,1335,582,0.433,292,6.321,0.436,6.2215,0.04871453950230078,Non-Viral
C01529,2026-01-05,Instagram,College Life,Long,Visual,Advice,47,5986,25897,158,8,20,10,0.533,9,3.274,0.5,2.8567,0.05550514533912463,Non-Viral
C00415,2026-01-05,Instagram,Burnout,Short,Visual,Question,43,126928,171858,13634,1355,2129,1237,0.567,445,14.461,0.581,13.9532,0.0687729862599269,Viral
C04563,2026-01-05,Instagram,Family Pressure,Long,Visual,Advice,49,126886,57362,3847,316,464,119,0.642,149,3.74,0.256,3.1741,0.066500490203805,Viral
C01594,2026-01-05,Instagram,Burnout,Short,Visual,Confession,32,60940,165767,1375,245,333,269,0.502,69,3.646,0.808,4.2534,0.05458628158844765,Non-Viral
C04117,2026-01-05,Instagram,Dating,Long,Text,Advice,33,107581,45568,7207,307,756,461,0.425,359,8.116,0.61,6.7428,0.04737586097916919,Non-Viral
C01652,2026-01-05,Instagram,Dating,Short,Text,Story,27,145198,136176,11612,1193,1377,978,0.571,562,10.441,0.71,9.4233,0.06462076474882573,Non-Viral
C04505,2026-01-05,YouTube,Friendship,Short,Text,Question,44,40369,127948,2077,107,144,423,0.53,170,6.815,2.938,6.1359,0.05814627560752063,Non-Viral
C03505,2026-01-05,Instagram,Self-Doubt,Short,Text,Advice,30,130877,142746,6251,493,408,772,0.551,208,6.055,1.892,5.0681,0.05883747870137611,Non-Viral
C00478,2026-01-05,YouTube,Social Anxiety,Short,Text,Advice,35,3241,83130,312,23,32,22,0.552,6,12.002,0.688,10.1975,0.06274396791113854,Non-Viral
C04527,2026-01-05,Instagram,College Life,Long,Visual,List,50,143759,12771,4435,514,462,277,0.506,92,3.957,0.6,3.4283,0.05316053534039609,Non-Viral
C03788,2026-01-06,YouTube,Dating,Short,Visual,Question,29,23651,173371,2441,282,219,248,0.422,52,13.488,1.132,11.824,0.05130109509111666,Non-Viral
C04062,2026-01-06,Instagram,Self-Doubt,Short,Text,Confession,8,30296,68233,1964,163,215,194,0.44,123,8.371,0.902,7.4581,0.04992157380512279,Non-Viral
C00540,2026-01-06,Instagram,Burnout,Long,Text,Story,20,165198,102683,5094,355,546,527,0.515,290,3.948,0.965,3.4937,0.054266679984019184,Non-Viral
C03442,2026-01-06,Instagram,College Life,Short,Visual,Advice,35,148589,144340,5061,791,883,1019,0.543,171,5.218,1.154,5.6559,0.0598300190458244,Non-Viral
C03119,2026-01-06,Instagram,Friendship,Short,Visual,Advice,25,58716,230184,3754,293,693,454,0.494,97,8.846,0.655,9.0325,0.05777931739219293,Non-Viral
C00170,2026-01-06,Instagram,Self-Doubt,Short,Text,Advice,20,65262,119106,5803,440,398,213,0.548,320,10.502,0.535,7.9395,0.05953476142318655,Non-Viral
C01167,2026-01-06,Instagram,Burnout,Short,Text,Confession,19,169416,20252,14786,558,945,1544,0.6,320,10.526,1.634,8.354,0.06573824196061764,Non-Viral
C03309,2026-01-06,Instagram,Burnout,Short,Visual,Question,38,16039,51922,589,65,44,48,0.484,27,4.651,1.091,3.8656,0.05114019577280379,Non-Viral
C00272,2026-01-06,YouTube,Social Anxiety,Long,Text,Story,38,48003,200425,3361,249,303,219,0.46,101,8.608,0.723,7.085,0.05098718830073121,Non-Viral
C03947,2026-01-06,YouTube,Family Pressure,Long,Text,Story,31,22960,91887,666,40,52,146,0.31,47,3.937,2.808,3.6629,0.03418815331010453,Non-Viral
C00369,2026-01-06,YouTube,Family Pressure,Short,Visual,Story,13,92218,203807,7039,680,744,1397,0.519,433,10.692,1.878,10.3727,0.06118126829903056,Non-Viral
C01744,2026-01-06,Instagram,Self-Doubt,Short,Text,Story,35,66700,196243,2510,165,384,543,0.621,212,5.4,1.414,5.6079,0.06750404797601199,Viral
C02712,2026-01-06,Instagram,Dating,Short,Visual,Question,37,164506,109488,13363,1024,1044,799,0.501,936,9.866,0.765,7.8705,0.05534661714466342,Non-Viral
C01783,2026-01-06,Instagram,Social Anxiety,Short,Visual,List,28,78664,110074,3329,511,602,235,0.569,156,5.946,0.39,5.9837,0.06221437506356148,Non-Viral
C00821,2026-01-06,Instagram,College Life,Long,Text,Advice,42,162105,108609,2739,432,606,380,0.444,189,2.564,0.627,2.8349,0.04718523179420746,Non-Viral
C02261,2026-01-06,Instagram,Dating,Short,Text,Story,73,113381,161064,8635,500,861,1130,0.553,178,9.813,1.312,8.7409,0.06236864465827609,Non-Viral
C04700,2026-01-06,YouTube,Social Anxiety,Short,Text,Confession,40,99504,79702,10162,445,1559,839,0.587,233,13.07,0.538,12.1638,0.06895084418716836,Viral
C03805,2026-01-06,YouTube,Friendship,Short,Visual,List,51,120729,134784,9306,994,495,1041,0.648,461,9.804,2.103,8.0436,0.07046682404393312,Viral
C02171,2026-01-06,Instagram,Self-Doubt,Short,Text,Question,38,156428,93354,9373,659,1026,536,0.625,311,7.412,0.522,6.2808,0.06711138670826194,Viral
C04076,2026-01-06,Instagram,Dating,Short,Visual,Advice,37,27560,127980,2974,304,174,336,0.526,109,13.745,1.931,11.3824,0.06075312046444123,Non-Viral
C00300,2026-01-06,YouTube,Burnout,Long,Text,Advice,18,148174,103164,10428,634,1523,394,0.363,301,8.759,0.259,7.776,0.042364829187306816,Non-Viral
C02138,2026-01-06,YouTube,Burnout,Long,Visual,Question,26,78353,33470,5964,509,420,648,0.462,133,9.624,1.543,8.0424,0.05206767577501819,Non-Viral
C03804,2026-01-06,Instagram,Burnout,Short,Visual,Question,43,41556,193581,3071,95,208,410,0.588,41,9.106,1.971,7.5128,0.0643551544903263,Non-Viral
C03486,2026-01-07,Instagram,Social Anxiety,Long,Visual,Question,45,171140,11216,9980,966,1345,434,0.415,409,7.435,0.323,6.6273,0.04664403412410892,Non-Viral
C01399,2026-01-07,Instagram,College Life,Short,Visual,Confession,36,21777,70597,1434,211,159,222,0.518,100,9.303,1.396,8.9751,0.05959721724755476,Non-Viral
C01180,2026-01-07,Instagram,Social Anxiety,Short,Text,Question,28,42745,26408,2551,206,176,315,0.508,141,7.599,1.79,6.416,0.055586524739735646,Non-Viral
C00429,2026-01-07,Instagram,Dating,Short,Visual,Question,43,73256,80216,4109,368,324,410,0.532,170,7.113,1.265,6.0043,0.05762284591023261,Non-Viral
C00454,2026-01-07,YouTube,Social Anxiety,Short,Visual,Confession,28,103269,10151,12283,1498,537,870,0.516,679,14.707,1.62,11.3679,0.058643255962583164,Non-Viral
C02469,2026-01-07,Instagram,College Life,Short,Text,List,22,92046,86726,4623,288,726,697,0.67,323,6.881,0.96,6.8612,0.07329033309432241,Viral
C02636,2026-01-07,Instagram,Family Pressure,Short,Text,List,40,84764,164857,3742,446,471,220,0.478,103,5.756,0.467,5.1826,0.05186835449011373,Non-Viral
C02410,2026-01-07,Instagram,Friendship,Short,Text,Advice,21,81408,82661,3325,356,207,657,0.539,110,5.583,3.174,5.0751,0.05812132959905661,Non-Viral
C02329,2026-01-07,YouTube,Family Pressure,Short,Visual,Advice,28,84087,192034,6408,268,530,901,0.577,424,9.641,1.7,8.3223,0.06422895215669486,Non-Viral
C04260,2026-01-07,Instagram,Burnout,Long,Visual,Confession,18,74675,53225,4985,631,586,716,0.445,133,9.264,1.222,8.8771,0.05217525945764982,Non-Viral
C02223,2026-01-07,Instagram,Dating,Long,Visual,Confession,28,106583,222157,4143,228,268,190,0.433,208,4.531,0.709,3.3753,0.045287183697212505,Non-Viral
C04645,2026-01-07,YouTube,Burnout,Short,Visual,Story,24,34095,191515,2015,146,370,267,0.597,67,8.206,0.722,8.4191,0.0675750549934008,Viral
C04913,2026-01-07,Instagram,Dating,Short,Visual,Question,32,166735,209547,9412,1389,2346,922,0.496,562,8.438,0.393,9.399,0.05884011155426276,Non-Viral
C04715,2026-01-07,YouTube,Dating,Short,Visual,Advice,22,9498,92393,753,49,95,106,0.553,43,10.56,1.116,9.9705,0.06392286797220469,Non-Viral
C03997,2026-01-07,Instagram,Family Pressure,Short,Visual,Confession,46,19591,88946,987,133,68,163,0.548,32,6.896,2.397,6.2427,0.05987631055076312,Non-Viral
C01944,2026-01-08,YouTube,Family Pressure,Short,Text,List,51,32297,13501,1160,123,90,92,0.575,40,4.536,1.022,3.7728,0.06017981546273647,Non-Viral
C01590,2026-01-08,Instagram,Burnout,Short,Visual,Question,21,111601,97334,2531,351,176,623,0.567,150,3.298,3.54,3.1953,0.059556157202892444,Non-Viral
C02559,2026-01-08,Instagram,Social Anxiety,Short,Visual,Story,41,144552,169331,7601,382,793,446,0.586,494,6.38,0.562,5.2884,0.062390677403287395,Non-Viral
C03458,2026-01-08,Instagram,Family Pressure,Long,Visual,Confession,43,3433,201402,109,15,7,7,0.455,6,4.02,1.0,3.2625,0.047684678124089726,Non-Viral
C02499,2026-01-08,Instagram,Family Pressure,Short,Visual,Story,60,83156,147707,5351,281,591,697,0.582,245,8.322,1.179,7.5328,0.06441963538409735,Non-Viral
C04535,2026-01-08,Instagram,College Life,Long,Text,Question,41,67644,115252,1470,136,95,118,0.365,50,2.689,1.242,2.1584,0.03795689196381054,Non-Viral
C01536,2026-01-08,Instagram,Dating,Short,Visual,Question,18,27313,27603,3164,314,395,291,0.577,78,15.245,0.737,13.986,0.06912862373228866,Viral
C04531,2026-01-08,Instagram,Social Anxiety,Short,Visual,Question,26,97838,204158,7026,928,1307,846,0.584,208,10.33,0.647,10.7504,0.06842831210776999,Viral
C00385,2026-01-08,Instagram,Self-Doubt,Long,Visual,Confession,34,9029,8951,700,85,104,30,0.415,26,10.178,0.288,9.4086,0.049092202901760994,Non-Viral
C04036,2026-01-08,Instagram,Career Stress,Long,Text,Story,29,152477,72076,14156,1465,1759,1642,0.357,770,12.475,0.933,11.6978,0.04556312689782722,Non-Viral
C03682,2026-01-08,Instagram,Social Anxiety,Short,Text,Confession,27,146884,209455,10212,1012,2019,1194,0.542,412,9.829,0.591,10.2591,0.06385762097982081,Non-Viral
C01493,2026-01-08,Instagram,Friendship,Short,Visual,Question,32,89003,54460,5915,779,330,245,0.618,381,8.167,0.742,6.2987,0.06560717503904363,Non-Viral
C02951,2026-01-08,Instagram,Family Pressure,Short,Text,Story,32,174264,170393,9308,1586,646,1415,0.601,670,7.434,2.19,6.7719,0.06556928797686269,Non-Viral
C04642,2026-01-08,YouTube,Family Pressure,Long,Visual,Advice,12,139283,57294,6994,611,501,627,0.519,240,6.27,1.251,5.1482,0.05552714760595335,Non-Viral
C00138,2026-01-08,Instagram,College Life,Long,Visual,List,35,93988,153108,5379,666,852,645,0.445,117,8.024,0.757,8.0164,0.05170091926628932,Non-Viral
C04160,2026-01-08,Instagram,Social Anxiety,Long,Visual,Advice,39,64830,242896,7962,611,495,254,0.555,322,14.379,0.513,10.6286,0.06152498843128182,Non-Viral
C01869,2026-01-08,Instagram,Family Pressure,Short,Visual,List,30,18056,207301,1078,28,142,156,0.743,57,7.776,1.099,7.3051,0.08066353566681436,Viral
C00830,2026-01-08,Instagram,College Life,Short,Visual,Story,35,167998,247746,18700,1501,2603,2251,0.74,776,14.914,0.865,14.2338,0.08633228967011512,Viral
C03537,2026-01-08,YouTube,Friendship,Long,Visual,List,20,56940,90433,3484,478,300,690,0.481,261,8.697,2.3,8.3228,0.05536554267650158,Non-Viral
C01300,2026-01-08,Instagram,Social Anxiety,Short,Visual,Question,39,75509,98494,3488,159,502,328,0.582,173,5.929,0.653,5.4887,0.06281070865724615,Non-Viral
C02263,2026-01-08,YouTube,Career Stress,Short,Visual,Story,18,50941,158437,4257,560,288,613,0.534,93,11.225,2.128,9.9301,0.06120314481458943,Non-Viral
C04244,2026-01-08,Instagram,Burnout,Short,Text,Advice,43,151200,186753,7940,454,515,1204,0.473,342,6.688,2.338,5.6905,0.051672023809523814,Non-Viral
C00787,2026-01-08,Instagram,Burnout,Long,Text,List,49,162966,34834,6997,368,319,1078,0.323,303,5.377,3.379,4.3957,0.035504042561025004,Non-Viral
C00844,2026-01-09,Instagram,Friendship,Long,Visual,List,42,121470,132042,6415,273,1065,519,0.538,360,6.81,0.487,6.4625,0.05936433687330206,Non-Viral
C04552,2026-01-09,Instagram,Social Anxiety,Short,Visual,Advice,8,37802,48810,2720,480,647,285,0.607,126,10.931,0.44,12.1449,0.07256841966033543,Viral
C01446,2026-01-09,YouTube,Career Stress,Short,Text,Story,46,13994,194550,483,55,22,33,0.498,18,4.238,1.5,3.2585,0.05180443047020152,Non-Viral
C04275,2026-01-09,Instagram,Burnout,Short,Visual,List,39,21662,71317,1346,86,72,107,0.676,31,7.437,1.486,5.6874,0.071173077278183,Viral
C00970,2026-01-09,YouTube,Family Pressure,Short,Text,Advice,14,41440,136529,1484,148,207,100,0.512,64,4.679,0.483,4.3074,0.0547074806949807,Non-Viral
C04003,2026-01-09,Instagram,Burnout,Short,Text,Question,48,75199,123391,4628,517,444,656,0.555,97,8.305,1.477,7.6244,0.06180527001688853,Non-Viral
C00663,2026-01-09,Instagram,Friendship,Long,Text,List,58,13337,59667,562,41,97,106,0.423,29,6.043,1.093,6.3395,0.048418317462697764,Non-Viral
C04299,2026-01-09,Instagram,Social Anxiety,Short,Visual,Story,26,177942,116090,10715,976,1381,463,0.551,393,7.606,0.335,6.6822,0.06019576154027718,Non-Viral
C04304,2026-01-09,Instagram,Family Pressure,Short,Text,Advice,45,117603,37065,3017,411,182,506,0.584,178,3.5,2.78,3.1317,0.06091141552511416,Non-Viral
C01266,2026-01-09,YouTube,Family Pressure,Short,Visual,Story,33,9595,87372,944,39,66,93,0.534,46,11.902,1.409,9.531,0.06001281917665451,Non-Viral
C01909,2026-01-09,YouTube,Self-Doubt,Short,Visual,Advice,41,100634,6707,6901,251,689,590,0.694,200,8.378,0.856,7.0294,0.07461394359759127,Viral
C01683,2026-01-09,YouTube,Dating,Long,Visual,Confession,8,160231,164827,11617,1507,1192,1486,0.403,852,9.862,1.247,9.1225,0.04784067564953099,Non-Viral
C00147,2026-01-09,YouTube,Dating,Short,Text,List,32,103682,25278,5800,405,934,712,0.448,280,7.572,0.762,7.4589,0.05149981288941186,Non-Viral
C03320,2026-01-09,Instagram,Friendship,Short,Visual,Advice,18,71920,242039,4858,792,355,874,0.523,207,9.565,2.462,8.9405,0.05981877085650723,Non-Viral
C02322,2026-01-09,Instagram,Career Stress,Short,Text,Story,49,23188,114993,1142,85,180,175,0.561,79,6.822,0.972,6.8505,0.06240714162497845,Non-Viral
