comment_id,content_id,comment_text,created_at,nlp_label
CM000067,C04613,"This is so relatable, thank you for saying it.",2026-08-25 05:00:00,Relatable
CM000068,C00050,How long is the full video?,2026-01-06 18:00:00,Neutral
CM000069,C03609,How long is the full video?,2026-05-18 01:00:00,Neutral
CM000070,C02803,You described my situation perfectly.,2026-03-31 20:00:00,Relatable
CM000071,C03198,What app did you use to make this?,2026-01-23 03:00:00,Neutral
CM000072,C02232,Good point.,2026-02-23 18:00:00,Neutral
CM000073,C03536,Needed this reminder today.,2026-02-09 18:00:00,Relatable
CM000074,C00693,This feels too generalized.,2026-05-07 01:00:00,Relatable
CM000075,C02620,This topic is worth discussing.,2026-02-19 22:00:00,Neutral
CM000076,C02547,You described my situation perfectly.,2026-06-17 14:00:00,Relatable
CM000077,C00173,"This is so relatable, thank you for saying it.",2026-02-12 13:00:00,Relatable
CM000078,C02031,I have been struggling with the same thing for months.,2026-01-15 20:00:00,Relatable
CM000079,C02022,This made me feel understood.,2026-06-24 22:00:00,Relatable
CM000080,C03558,What app did you use to make this?,2026-06-22 07:00:00,Neutral
CM000081,C02971,This is painfully accurate but helpful.,2026-02-27 03:00:00,Neutral
CM000082,C00241,You described my situation perfectly.,2026-01-06 11:00:00,Relatable
CM000083,C02048,How long is the full video?,2026-04-10 04:00:00,Neutral
CM000084,C00659,Interesting perspective.,2026-06-15 11:00:00,Neutral
CM000085,C04673,This feels too generalized.,2026-01-15 20:00:00,Relatable
CM000086,C03054,This is exactly what I needed to hear today.,2026-02-07 10:00:00,Relatable
CM000087,C00343,Finally someone put this feeling into words.,2026-05-23 13:00:00,Relatable
CM000088,C02192,Where can I find more information?,2026-03-26 06:00:00,Neutral
CM000089,C01191,I saved this because it explains how I feel.,2026-08-04 10:00:00,Relatable
CM000090,C00051,I thought I was the only one dealing with this.,2026-01-30 17:00:00,Relatable
CM000091,C01966,You described my situation perfectly.,2026-06-29 05:00:00,Relatable
CM000092,C03222,This advice did not help me.,2026-05-15 04:00:00,Neutral
CM000093,C02116,How long is the full video?,2026-03-08 05:00:00,Neutral
CM000094,C00413,You described my situation perfectly.,2026-07-11 15:00:00,Relatable
CM000095,C01063,Nice explanation.,2026-02-27 23:00:00,Neutral
CM000096,C02032,Where can I find more information?,2026-05-16 15:00:00,Neutral
CM000097,C00491,I found this confusing.,2026-04-20 03:00:00,Neutral
CM000098,C02165,I had not thought about it this way.,2026-08-07 14:00:00,Neutral
CM000099,C01010,Not sure this applies to everyone.,2026-01-27 04:00:00,Neutral
CM000100,C02063,I had not thought about it this way.,2026-01-08 17:00:00,Neutral
CM000101,C04135,The editing is clean.,2026-06-05 03:00:00,Neutral
CM000102,C03552,This is painfully accurate but helpful.,2026-03-28 11:00:00,Neutral
CM000103,C03084,This advice did not help me.,2026-08-28 10:00:00,Neutral
CM000104,C04383,I saved this because it explains how I feel.,2026-04-02 21:00:00,Relatable
CM000105,C03228,Thanks for sharing.,2026-04-24 00:00:00,Neutral
CM000106,C03176,This made me feel understood.,2026-03-19 05:00:00,Relatable
CM000107,C03510,Needed this reminder today.,2026-05-12 18:00:00,Relatable
CM000108,C03822,This made me feel understood.,2026-04-12 21:00:00,Relatable
CM000109,C04301,Finally someone put this feeling into words.,2026-01-13 10:00:00,Relatable
CM000110,C02994,The editing is clean.,2026-05-19 08:00:00,Neutral
CM000111,C02678,"This is so relatable, thank you for saying it.",2026-04-23 21:00:00,Relatable
CM000112,C01302,This topic is worth discussing.,2026-02-16 22:00:00,Neutral
CM000113,C02809,I found this confusing.,2026-04-19 18:00:00,Neutral
CM000114,C02188,Good point.,2026-02-18 12:00:00,Neutral
CM000115,C00096,Interesting perspective.,2026-01-18 15:00:00,Neutral
CM000116,C02781,Good point.,2026-02-04 07:00:00,Neutral
CM000117,C04973,"This is so relatable, thank you for saying it.",2026-07-10 13:00:00,Relatable
CM000118,C04364,"This is so relatable, thank you for saying it.",2026-03-13 23:00:00,Relatable
CM000119,C01269,Where can I find more information?,2026-04-26 20:00:00,Neutral
CM000120,C02356,Needed this reminder today.,2026-06-06 03:00:00,Relatable
CM000121,C04178,I thought I was the only one dealing with this.,2026-05-29 00:00:00,Relatable
CM000122,C00939,This made me feel understood.,2026-05-05 13:00:00,Relatable
CM000123,C00477,Where can I find more information?,2026-03-15 11:00:00,Neutral
CM000124,C01589,Needed this reminder today.,2026-03-11 12:00:00,Relatable
CM000125,C04142,Nice explanation.,2026-04-17 21:00:00,Neutral
CM000126,C04216,This is painfully accurate but helpful.,2026-08-21 07:00:00,Neutral
CM000127,C03084,What app did you use to make this?,2026-04-04 06:00:00,Neutral
CM000128,C04921,This is painfully accurate but helpful.,2026-06-03 08:00:00,Neutral
CM000129,C02444,Interesting perspective.,2026-03-19 10:00:00,Neutral
CM000130,C02761,Good point.,2026-03-07 06:00:00,Neutral
CM000131,C01148,This is painfully accurate but helpful.,2026-06-04 20:00:00,Neutral
CM000132,C02404,I saved this because it explains how I feel.,2026-01-12 03:00:00,Relatable
CM000133,C00657,How long is the full video?,2026-03-15 10:00:00,Neutral
CM000134,C01396,I don't agree with this.,2026-02-26 22:00:00,Neutral
CM000135,C04877,I saved this because it explains how I feel.,2026-02-01 06:00:00,Relatable
CM000136,C02988,Where can I find more information?,2026-04-29 02:00:00,Neutral
CM000137,C02829,"This is so relatable, thank you for saying it.",2026-02-17 13:00:00,Relatable
CM000138,C03451,I found this confusing.,2026-02-19 21:00:00,Neutral
CM000139,C03657,Interesting perspective.,2026-06-01 00:00:00,Neutral
CM000140,C03631,Not sure this applies to everyone.,2026-03-20 07:00:00,Neutral
CM000141,C03879,This is painfully accurate but helpful.,2026-06-20 09:00:00,Neutral
CM000142,C00521,"This is so relatable, thank you for saying it.",2026-08-28 05:00:00,Relatable
CM000143,C04010,This is painfully accurate but helpful.,2026-04-18 11:00:00,Neutral
CM000144,C03014,I thought I was the only one dealing with this.,2026-08-15 11:00:00,Relatable
CM000145,C03557,I saved this because it explains how I feel.,2026-03-11 05:00:00,Relatable
CM000146,C02754,This is painfully accurate but helpful.,2026-05-04 08:00:00,Neutral
CM000147,C01907,Needed this reminder today.,2026-04-28 07:00:00,Relatable
CM000148,C01393,You described my situation perfectly.,2026-07-22 19:00:00,Relatable
CM000149,C04534,"This is so relatable, thank you for saying it.",2026-03-14 13:00:00,Relatable
CM000150,C02626,How long is the full video?,2026-03-09 20:00:00,Neutral
CM000151,C03609,"This is so relatable, thank you for saying it.",2026-04-28 14:00:00,Relatable
CM000152,C00452,This topic is worth discussing.,2026-06-30 12:00:00,Neutral
CM000153,C04768,This topic is worth discussing.,2026-08-11 08:00:00,Neutral
CM000154,C00797,This is exactly what I needed to hear today.,2026-08-05 18:00:00,Relatable
CM000155,C02274,Needed this reminder today.,2026-01-08 08:00:00,Relatable
CM000156,C02630,Not sure this applies to everyone.,2026-07-21 15:00:00,Neutral
CM000157,C00991,I have been struggling with the same thing for months.,2026-03-07 15:00:00,Relatable
CM000158,C04969,I don't agree with this.,2026-06-03 04:00:00,Neutral
CM000159,C03838,I thought I was the only one dealing with this.,2026-07-02 08:00:00,Relatable
CM000160,C04102,Finally someone put this feeling into words.,2026-07-20 09:00:00,Relatable
CM000161,C03692,What app did you use to make this?,2026-03-03 23:00:00,Neutral
CM000162,C03667,The editing is clean.,2026-01-02 16:00:00,Neutral
CM000163,C02888,Interesting perspective.,2026-08-02 07:00:00,Neutral
CM000164,C02311,The editing is clean.,2026-04-04 07:00:00,Neutral
CM000165,C02577,This advice did not help me.,2026-07-01 23:00:00,Neutral
CM000166,C02916,I thought I was the only one dealing with this.,2026-07-06 01:00:00,Relatable
CM000167,C00514,I thought I was the only one dealing with this.,2026-06-05 23:00:00,Relatable
CM000168,C03104,I have been struggling with the same thing for months.,2026-04-09 10:00:00,Relatable
CM000169,C02222,Good point.,2026-01-26 23:00:00,Neutral
CM000170,C00258,This is painfully accurate but helpful.,2026-02-15 05:00:00,Neutral
CM000171,C02911,I had not thought about it this way.,2026-06-03 07:00:00,Neutral
CM000172,C04640,"This is so relatable, thank you for saying it.",2026-07-07 09:00:00,Relatable
CM000173,C03413,I have been struggling with the same thing for months.,2026-04-30 23:00:00,Relatable
CM000174,C01527,This is painfully accurate but helpful.,2026-05-28 18:00:00,Neutral
CM000175,C00876,This feels too generalized.,2026-04-18 05:00:00,Relatable
CM000176,C02666,What app did you use to make this?,2026-05-07 20:00:00,Neutral
CM000177,C04998,This is painfully accurate but helpful.,2026-08-14 04:00:00,Neutral
CM000178,C03463,Thanks for sharing.,2026-03-24 00:00:00,Neutral
CM000179,C04996,This made me feel understood.,2026-08-05 08:00:00,Relatable
CM000180,C02042,This feels too generalized.,2026-01-24 14:00:00,Relatable
CM000181,C03653,This is painfully accurate but helpful.,2026-01-06 10:00:00,Neutral
CM000182,C00635,You described my situation perfectly.,2026-07-29 00:00:00,Relatable
CM000183,C04032,I saved this because it explains how I feel.,2026-05-07 15:00:00,Relatable
CM000184,C01637,I found this confusing.,2026-02-18 13:00:00,Neutral
CM000185,C01312,Not sure this applies to everyone.,2026-01-09 01:00:00,Neutral
CM000186,C04026,I have been struggling with the same thing for months.,2026-06-03 13:00:00,Relatable
CM000187,C00493,This topic is worth discussing.,2026-04-12 18:00:00,Neutral
CM000188,C01545,Nice explanation.,2026-03-13 02:00:00,Neutral
CM000189,C01910,I thought I was the only one dealing with this.,2026-08-28 14:00:00,Relatable
CM000190,C00749,You described my situation perfectly.,2026-02-25 15:00:00,Relatable
CM000191,C00533,You described my situation perfectly.,2026-08-01 05:00:00,Relatable
CM000192,C04279,Good point.,2026-04-19 03:00:00,Neutral
CM000193,C00651,Not sure this applies to everyone.,2026-02-17 17:00:00,Neutral
CM000194,C03980,This is exactly what I needed to hear today.,2026-06-27 05:00:00,Relatable
CM000195,C01017,Needed this reminder today.,2026-07-24 01:00:00,Relatable
CM000196,C04755,This is painfully accurate but helpful.,2026-02-25 19:00:00,Neutral
CM000197,C01973,You described my situation perfectly.,2026-05-20 03:00:00,Relatable
CM000198,C04345,Needed this reminder today.,2026-01-23 10:00:00,Relatable
CM000199,C03035,You described my situation perfectly.,2026-06-08 02:00:00,Relatable
CM000200,C00454,This is exactly what I needed to hear today.,2026-04-28 09:00:00,Relatable
CM000201,C04357,I thought I was the only one dealing with this.,2026-07-23 13:00:00,Relatable
CM000202,C03863,Interesting perspective.,2026-05-13 15:00:00,Neutral
CM000203,C02516,You described my situation perfectly.,2026-03-01 17:00:00,Relatable
CM000204,C04179,I don't agree with this.,2026-06-08 22:00:00,Neutral
CM000205,C04924,Interesting perspective.,2026-04-02 14:00:00,Neutral
CM000206,C00229,How long is the full video?,2026-04-20 03:00:00,Neutral
CM000207,C01584,Good point.,2026-05-27 23:00:00,Neutral
CM000208,C00880,This is painfully accurate but helpful.,2026-04-04 17:00:00,Neutral
CM000209,C01450,The editing is clean.,2026-02-24 04:00:00,Neutral
CM000210,C04326,Not sure this applies to everyone.,2026-02-06 22:00:00,Neutral
CM000211,C01050,Nice explanation.,2026-08-21 20:00:00,Neutral
CM000212,C02586,The editing is clean.,2026-03-14 16:00:00,Neutral
CM000213,C01164,This topic is worth discussing.,2026-07-19 21:00:00,Neutral
CM000214,C00610,"This is so relatable, thank you for saying it.",2026-03-02 03:00:00,Relatable
CM000215,C03858,Needed this reminder today.,2026-06-23 22:00:00,Relatable
CM000216,C03999,Needed this reminder today.,2026-02-02 01:00:00,Relatable
CM000217,C00108,I have been struggling with the same thing for months.,2026-03-02 05:00:00,Relatable
CM000218,C00706,The editing is clean.,2026-08-20 02:00:00,Neutral
CM000219,C02978,Nice explanation.,2026-08-09 16:00:00,Neutral
CM000220,C03866,Where can I find more information?,2026-02-14 09:00:00,Neutral
CM000221,C02069,The editing is clean.,2026-05-01 23:00:00,Neutral
CM000222,C02419,Good point.,2026-05-19 11:00:00,Neutral
CM000223,C03229,I thought I was the only one dealing with this.,2026-07-28 21:00:00,Relatable
CM000224,C01810,This made me feel understood.,2026-04-08 12:00:00,Relatable
CM000225,C03735,Finally someone put this feeling into words.,2026-08-02 23:00:00,Relatable
CM000226,C03877,This made me feel understood.,2026-05-13 15:00:00,Relatable
CM000227,C01770,Where can I find more information?,2026-03-13 22:00:00,Neutral
CM000228,C01306,I have been struggling with the same thing for months.,2026-05-22 13:00:00,Relatable
CM000229,C02979,I don't agree with this.,2026-01-21 04:00:00,Neutral
CM000230,C03326,I thought I was the only one dealing with this.,2026-05-06 21:00:00,Relatable
CM000231,C00212,I don't agree with this.,2026-01-20 02:00:00,Neutral
CM000232,C03234,Where can I find more information?,2026-03-21 19:00:00,Neutral
CM000233,C01899,How long is the full video?,2026-06-21 05:00:00,Neutral
CM000234,C02736,Good point.,2026-03-24 11:00:00,Neutral
CM000235,C01308,You described my situation perfectly.,2026-08-28 20:00:00,Relatable
CM000236,C01672,The editing is clean.,2026-02-11 06:00:00,Neutral
CM000237,C01161,This feels too generalized.,2026-08-05 10:00:00,Relatable
CM000238,C00967,This is painfully accurate but helpful.,2026-04-11 00:00:00,Neutral
CM000239,C02151,Nice explanation.,2026-06-07 13:00:00,Neutral
CM000240,C04981,"This is so relatable, thank you for saying it.",2026-03-29 15:00:00,Relatable
CM000241,C01211,This made me feel understood.,2026-05-01 07:00:00,Relatable
CM000242,C03469,I had not thought about it this way.,2026-08-29 05:00:00,Neutral
CM000243,C03362,I saved this because it explains how I feel.,2026-02-16 13:00:00,Relatable
CM000244,C00209,I have been struggling with the same thing for months.,2026-01-23 14:00:00,Relatable
CM000245,C03071,You described my situation perfectly.,2026-05-14 11:00:00,Relatable
CM000246,C01202,I thought I was the only one dealing with this.,2026-05-20 19:00:00,Relatable
CM000247,C04010,I have been struggling with the same thing for months.,2026-08-01 19:00:00,Relatable
CM000248,C00088,This is painfully accurate but helpful.,2026-08-28 12:00:00,Neutral
CM000249,C00291,I thought I was the only one dealing with this.,2026-05-23 02:00:00,Relatable
CM000250,C00098,This is exactly what I needed to hear today.,2026-08-13 13:00:00,Relatable
CM000251,C00586,This is painfully accurate but helpful.,2026-01-23 23:00:00,Neutral
CM000252,C04351,This is exactly what I needed to hear today.,2026-06-17 21:00:00,Relatable
CM000253,C04484,I thought I was the only one dealing with this.,2026-05-09 02:00:00,Relatable
CM000254,C01663,You described my situation perfectly.,2026-04-07 01:00:00,Relatable
CM000255,C04110,"This is so relatable, thank you for saying it.",2026-07-26 01:00:00,Relatable
CM000256,C04478,This made me feel understood.,2026-06-25 23:00:00,Relatable
CM000257,C03270,I have been struggling with the same thing for months.,2026-01-17 20:00:00,Relatable
CM000258,C01071,Nice explanation.,2026-08-15 15:00:00,Neutral
CM000259,C03463,You described my situation perfectly.,2026-05-01 03:00:00,Relatable
CM000260,C02028,This made me feel understood.,2026-05-12 05:00:00,Relatable
CM000261,C03378,Interesting perspective.,2026-02-13 00:00:00,Neutral
CM000262,C01921,"This is so relatable, thank you for saying it.",2026-03-25 01:00:00,Relatable
CM000263,C04395,This made me feel understood.,2026-06-22 12:00:00,Relatable
CM000264,C02268,Interesting perspective.,2026-01-04 04:00:00,Neutral
CM000265,C04193,This made me feel understood.,2026-04-05 19:00:00,Relatable
CM000266,C04251,What app did you use to make this?,2026-05-03 12:00:00,Neutral
CM000267,C04966,Nice explanation.,2026-08-10 09:00:00,Neutral
CM000268,C01748,Not sure this applies to everyone.,2026-01-23 12:00:00,Neutral
CM000269,C03356,I found this confusing.,2026-08-02 20:00:00,Neutral
CM000270,C04542,This is painfully accurate but helpful.,2026-03-19 02:00:00,Neutral
CM000271,C02753,Nice explanation.,2026-03-05 04:00:00,Neutral
CM000272,C00684,"This is so relatable, thank you for saying it.",2026-05-31 16:00:00,Relatable
CM000273,C00711,You described my situation perfectly.,2026-04-15 22:00:00,Relatable
CM000274,C02588,I saved this because it explains how I feel.,2026-03-09 05:00:00,Relatable
CM000275,C04804,You described my situation perfectly.,2026-02-22 02:00:00,Relatable
CM000276,C02135,This is exactly what I needed to hear today.,2026-02-24 04:00:00,Relatable
CM000277,C01511,Thanks for sharing.,2026-02-25 06:00:00,Neutral
CM000278,C04185,This is painfully accurate but helpful.,2026-05-23 12:00:00,Neutral
CM000279,C04083,Interesting perspective.,2026-04-22 00:00:00,Neutral
CM000280,C02359,Not sure this applies to everyone.,2026-01-18 17:00:00,Neutral
CM000281,C04231,This is exactly what I needed to hear today.,2026-02-27 09:00:00,Relatable
CM000282,C04958,This is exactly what I needed to hear today.,2026-08-13 17:00:00,Relatable
CM000283,C00165,Needed this reminder today.,2026-07-17 11:00:00,Relatable
CM000284,C00418,I have been struggling with the same thing for months.,2026-08-27 00:00:00,Relatable
CM000285,C03247,This is painfully accurate but helpful.,2026-06-17 16:00:00,Neutral
CM000286,C03922,This is painfully accurate but helpful.,2026-08-28 10:00:00,Neutral
CM000287,C03179,I had not thought about it this way.,2026-06-16 02:00:00,Neutral
CM000288,C01696,Interesting perspective.,2026-01-02 14:00:00,Neutral
CM000289,C00034,This is painfully accurate but helpful.,2026-05-15 08:00:00,Neutral
CM000290,C03774,Good point.,2026-01-01 13:00:00,Neutral
CM000291,C02737,I had not thought about it this way.,2026-02-03 06:00:00,Neutral
CM000292,C03667,Good point.,2026-01-25 23:00:00,Neutral
CM000293,C02926,Needed this reminder today.,2026-01-12 23:00:00,Relatable
CM000294,C04280,I thought I was the only one dealing with this.,2026-08-11 00:00:00,Relatable
CM000295,C03457,The editing is clean.,2026-02-09 06:00:00,Neutral
CM000296,C03496,This made me feel understood.,2026-07-30 10:00:00,Relatable
CM000297,C03400,I thought I was the only one dealing with this.,2026-03-17 16:00:00,Relatable
CM000298,C01133,Needed this reminder today.,2026-01-05 07:00:00,Relatable
CM000299,C04883,You described my situation perfectly.,2026-03-23 06:00:00,Relatable
CM000300,C04895,Thanks for sharing.,2026-01-18 07:00:00,Neutral
CM000301,C01635,Thanks for sharing.,2026-03-17 17:00:00,Neutral
CM000302,C01291,This is exactly what I needed to hear today.,2026-03-15 10:00:00,Relatable
CM000303,C03111,This advice did not help me.,2026-01-13 05:00:00,Neutral
CM000304,C00961,I thought I was the only one dealing with this.,2026-03-09 14:00:00,Relatable
CM000305,C00147,This made me feel understood.,2026-01-28 18:00:00,Relatable
CM000306,C04373,Thanks for sharing.,2026-01-01 08:00:00,Neutral
CM000307,C01359,Needed this reminder today.,2026-05-31 20:00:00,Relatable
CM000308,C02970,This advice did not help me.,2026-01-20 16:00:00,Neutral
CM000309,C02433,How long is the full video?,2026-06-17 14:00:00,Neutral
CM000310,C02807,I saved this because it explains how I feel.,2026-06-14 03:00:00,Relatable
CM000311,C00500,You described my situation perfectly.,2026-07-24 09:00:00,Relatable
CM000312,C01636,Finally someone put this feeling into words.,2026-05-24 01:00:00,Relatable
CM000313,C00750,You described my situation perfectly.,2026-04-14 02:00:00,Relatable
CM000314,C02902,What app did you use to make this?,2026-03-27 15:00:00,Neutral
CM000315,C00783,This made me feel understood.,2026-02-27 04:00:00,Relatable
CM000316,C02957,I had not thought about it this way.,2026-03-01 06:00:00,Neutral
CM000317,C01229,I saved this because it explains how I feel.,2026-02-18 03:00:00,Relatable
CM000318,C02214,I have been struggling with the same thing for months.,2026-04-25 20:00:00,Relatable
CM000319,C04016,Finally someone put this feeling into words.,2026-06-05 02:00:00,Relatable
CM000320,C02058,I thought I was the only one dealing with this.,2026-06-04 13:00:00,Relatable
CM000321,C03303,I don't agree with this.,2026-06-25 18:00:00,Neutral
CM000322,C00844,I have been struggling with the same thing for months.,2026-03-15 17:00:00,Relatable
CM000323,C04376,This advice did not help me.,2026-08-18 05:00:00,Neutral
CM000324,C03024,Thanks for sharing.,2026-02-02 04:00:00,Neutral
CM000325,C02529,I thought I was the only one dealing with this.,2026-06-21 05:00:00,Relatable
CM000326,C03173,I thought I was the only one dealing with this.,2026-08-11 00:00:00,Relatable
CM000327,C00867,This topic is worth discussing.,2026-07-22 10:00:00,Neutral
CM000328,C00208,You described my situation perfectly.,2026-01-29 00:00:00,Relatable
CM000329,C00007,This topic is worth discussing.,2026-06-14 19:00:00,Neutral
CM000330,C03421,What app did you use to make this?,2026-07-22 23:00:00,Neutral
CM000331,C02540,"This is so relatable, thank you for saying it.",2026-03-26 06:00:00,Relatable
CM000332,C04954,How long is the full video?,2026-05-17 04:00:00,Neutral
CM000333,C04928,I don't agree with this.,2026-04-28 19:00:00,Neutral
CM000334,C00922,You described my situation perfectly.,2026-04-24 15:00:00,Relatable
CM000335,C01266,Finally someone put this feeling into words.,2026-06-09 23:00:00,Relatable
CM000336,C01044,I saved this because it explains how I feel.,2026-03-03 21:00:00,Relatable
CM000337,C02166,"This is so relatable, thank you for saying it.",2026-03-17 15:00:00,Relatable
CM000338,C01411,I have been struggling with the same thing for months.,2026-06-19 10:00:00,Relatable
CM000339,C02912,This is painfully accurate but helpful.,2026-01-25 15:00:00,Neutral
CM000340,C03140,What app did you use to make this?,2026-04-29 19:00:00,Neutral
CM000341,C02627,Thanks for sharing.,2026-07-01 03:00:00,Neutral
CM000342,C02010,This is painfully accurate but helpful.,2026-01-25 21:00:00,Neutral
CM000343,C01613,This is exactly what I needed to hear today.,2026-03-03 20:00:00,Relatable
CM000344,C00200,This topic is worth discussing.,2026-07-18 18:00:00,Neutral
CM000345,C03509,What app did you use to make this?,2026-05-04 05:00:00,Neutral
CM000346,C03999,I thought I was the only one dealing with this.,2026-06-15 19:00:00,Relatable
CM000347,C02961,I had not thought about it this way.,2026-07-25 01:00:00,Neutral
CM000348,C02603,What app did you use to make this?,2026-07-06 08:00:00,Neutral
CM000349,C03241,I thought I was the only one dealing with this.,2026-03-27 16:00:00,Relatable
CM000350,C03402,Good point.,2026-02-25 04:00:00,Neutral
CM000351,C01057,This is painfully accurate but helpful.,2026-06-09 08:00:00,Neutral
CM000352,C01586,"This is so relatable, thank you for saying it.",2026-03-19 19:00:00,Relatable
CM000353,C02496,I saved this because it explains how I feel.,2026-03-09 06:00:00,Relatable
CM000354,C00132,I saved this because it explains how I feel.,2026-03-21 12:00:00,Relatable
CM000355,C00390,Thanks for sharing.,2026-04-28 14:00:00,Neutral
CM000356,C00441,You described my situation perfectly.,2026-02-08 22:00:00,Relatable
CM000357,C01107,How long is the full video?,2026-02-26 04:00:00,Neutral
CM000358,C01380,The editing is clean.,2026-08-02 12:00:00,Neutral
CM000359,C00397,What app did you use to make this?,2026-08-05 09:00:00,Neutral
CM000360,C04118,This topic is worth discussing.,2026-03-30 13:00:00,Neutral
CM000361,C04148,I have been struggling with the same thing for months.,2026-01-16 22:00:00,Relatable
CM000362,C04937,I saved this because it explains how I feel.,2026-03-16 10:00:00,Relatable
CM000363,C01719,This is exactly what I needed to hear today.,2026-04-12 19:00:00,Relatable
